委託時間,	股票名稱,	交易類別,	委託條件,	價格,	成交均價,	原委託,	成交股數,	未成交,	取消股數,	委託書號,	狀態
2021/04/14 11:04:06.295,永昕(4726),現股賣出,ROD,52.00,45.55,5000,5000,0,--,A0464,完全成交
2021/04/14 11:03:55.307,富采(3714),現股賣出,ROD,89.70,81.1,4000,4000,0,--,A0449,完全成交
2021/04/14 11:03:43.409,大亞(1609),現股賣出,ROD,23.75,20.35,8000,8000,0,--,A0437,完全成交
2021/04/14 11:03:28.153,義隆(2458),現股賣出,ROD,222.00,198,3000,3000,0,--,A0425,完全成交
2021/04/14 11:03:05.720,世界(5347),現股賣出,ROD,128.00,114,5000,5000,0,--,A0405,完全成交
2021/04/14 11:02:47.565,友達(2409),現股賣出,ROD,28.15,24,12000,12000,0,--,A0389,完全成交
2021/04/14 11:02:34.155,聯電(2303),現股賣出,ROD,59.80,51.7,4000,4000,0,--,A0375,完全成交
2021/04/14 11:02:16.576,群創(3481),現股賣出,ROD,26.80,22.3,15000,15000,0,--,A0358,完全成交
2021/04/14 11:01:46.069,元大台灣50(0050),現股賣出,ROD,150.85,136.6,4000,4000,0,--,A0331,完全成交
2021/04/14 09:15:22.118,大亞(1609),現股買進,ROD,23.75,21.75,2000,2000,0,--,63846,完全成交
2021/04/14 09:06:02.075,永昕(4726),現股買進,ROD,52.00,49.5,2000,2000,0,--,62779,完全成交
2021/04/14 09:04:50.813,群創(3481),現股買進,ROD,26.80,24.35,3000,3000,0,--,62608,完全成交
2021/04/13 09:55:11.206,友達(2409),現股買進,ROD,29.75,26.7,3000,3000,0,--,67544,完全成交
2021/04/13 09:54:53.468,群創(3481),現股買進,ROD,29.70,25.7,3000,3000,0,--,67520,完全成交
2021/04/13 09:28:09.566,義隆(2458),現股買進,ROD,218.50,209,1000,1000,0,--,65696,完全成交
2021/04/13 09:08:20.633,大亞(1609),現股買進,ROD,21.60,21.6,3000,3000,0,--,63402,完全成交
2021/04/13 09:04:40.084,義隆(2458),現股賣出,ROD,218.50,204,1000,1000,0,--,62804,完全成交
2021/04/13 09:01:23.065,光寶科(2301),現股賣出,ROD,70.40,63.7,2000,2000,0,--,62128,完全成交
2021/04/13 08:59:45.077,永昕(4726),現股買進,ROD,54.30,54.3,2000,2000,0,--,61848,完全成交
2021/04/12 11:42:12.821,大亞(1609),現股買進,ROD,22.60,22.5,3000,3000,0,--,A1795,完全成交
2021/04/12 09:41:25.009,友達(2409),現股買進,ROD,27.05,26.2,3000,3000,0,--,66674,完全成交
2021/04/12 09:41:11.429,群創(3481),現股買進,ROD,27.10,25.85,3000,3000,0,--,66660,完全成交
2021/04/12 08:50:10.547,永昕(4726),現股買進,ROD,49.40,49.4,1000,1000,0,--,61317,完全成交
2021/04/09 13:02:37.645,義隆(2458),現股賣出,ROD,219.00,195,2000,2000,0,--,A4755,完全成交
2021/04/09 09:26:29.784,友達(2409),現股買進,ROD,25.65,25.35,2000,2000,0,--,65727,完全成交
2021/04/09 09:26:13.551,群創(3481),現股買進,ROD,26.40,25.5,2000,2000,0,--,65700,完全成交
2021/04/09 09:23:05.450,義隆(2458),現股賣出,ROD,219.00,197.5,1000,1000,0,--,65380,完全成交
2021/04/07 10:00:38.939,永信(3705),現股賣出,ROD,48.55,44.05,1000,1000,0,--,67137,完全成交
